profile,Min,1stQ,Median,Mean,3rdQ,Max,tg_angle,plate_phill,plate_pacif,plate_maria,plate_carol,igneous_volc,sedim_thick,slope_angle,slope_class,hillshade,aspect_degree,aspect_class,morph_class
1,-5850,-4800,-3825,-3680,-2850,-400,0.05959421,518,0,0,0,112,132,25,8,44,50.572197,North-East,Extreme_Slope
2,-7200,-4800,-3950,-3774,-2850,-1350,0.05889147,82,0,436,0,71,103,32,8,1,44.674458,North-East,Very_Steep_Slope
3,-6650,-5650,-4650,-4601,-3750,-1200,0.07532998,15,396,107,0,0,96,51,10,136,215.07376,South-West,Steep_Slope
4,-7700,-5588,-3800,-4067,-2762,-550,0.06502649,75,187,256,0,0,109,64,10,1,277.8064,North-West,Extreme_Slope
5,-7650,-5588,-4450,-4733,-3800,-2350,0.06545271,63,230,225,0,3,127,52,10,132,178.41765,South-West,Extreme_Slope
6,-6950,-5550,-3800,-3991,-2550,-1250,0.07206682,67,210,241,0,5,135,70,10,166,158.5747,South,Steep_Slope
7,-6450,-4888,-3800,-4019,-3300,-1550,0.07767503,148,209,161,0,0,142,55,10,1,347.45697,North,Very_Steep_Slope
8,-6950,-4200,-3300,-3431,-2350,-650,0.07206682,69,210,239,0,208,137,27,8,35,214.20346,South-West,Steep_Slope
9,-6650,-5250,-4300,-4365,-3750,-1900,0.07532998,75,209,234,0,0,64,26,8,1,325.03488,North,Very_Steep_Slope
10,-7600,-4838,-3700,-3560,-2300,0,0.06588456,119,207,192,0,0,135,66,10,1,330.71426,North,Extreme_Slope
11,-5900,-4300,-3900,-3837,-3400,-1650,0.06031394,152,173,193,0,188,136,42,9,1,24.96279,North,Extreme_Slope
12,-7350,-5188,-4050,-4158,-3112,-1050,0.06813234,204,145,169,0,0,141,62,10,157,96.11022,East,Steep_Slope
13,-7400,-5700,-4600,-4365,-2962,-1200,0.06721504,263,59,196,0,111,140,46,10,1,2.465759,North,Extreme_Slope
14,-8550,-5400,-4300,-4379,-3450,-2100,0.05854629,306,50,162,0,149,129,35,9,132,209.34422,South-West,Very_Steep_Slope
15,-9150,-4988,-3850,-4114,-2912,-1450,0.05469926,310,1,207,0,55,131,37,9,180,260.24203,West,Very_Steep_Slope
16,-9050,-4838,-3800,-4266,-3250,-1450,0.0553049,315,0,203,0,113,136,64,10,1,256.17136,West,Very_Steep_Slope
17,-9050,-5288,-4175,-4359,-3450,-1450,0.0553049,358,0,160,0,40,125,40,9,180,130.63173,South-East,Very_Steep_Slope
18,-6750,-4700,-3750,-3878,-3150,-1500,0.05268023,393,0,125,0,81,106,43,9,180,153.87738,South-East,Strong_Slope
19,-9100,-6038,-4025,-4710,-3200,-2350,0.05500041,321,161,36,0,110,98,36,9,174,119.52136,South-East,Very_Steep_Slope
20,-9400,-6188,-4300,-4833,-3300,-1500,0.05324171,346,162,10,0,188,99,39,9,21,272.21967,North-West,Strong_Slope
21,-10600,-7388,-4775,-5331,-3250,-1650,0.04720483,404,114,0,0,82,100,43,9,1,77.56395,East,Strong_Slope
22,-9750,-5500,-4400,-4691,-3462,-2050,0.05132705,397,62,0,59,212,93,33,8,1,253.03384,West,Strong_Slope
23,-6050,-4588,-3950,-3999,-3500,-2000,0.08082045,419,79,0,20,306,88,32,8,1,292.6065,North-West,Very_Steep_Slope
24,-6200,-4600,-4050,-3652,-2862,-50,0.08082045,464,31,0,23,228,46,34,8,1,267.1612,North-West,Very_Steep_Slope
25,-6350,-5200,-4750,-4744,-4250,-3150,0.06721504,434,54,0,30,31,53,32,8,1,325.21497,North,Steep_Slope
